train/global_step,GPT2_V32_350k_4E_xLAN - legal piece moves accuracy,GPT2_V32_350k_4E_xLAN - hard position accuracy,GPT2_V32_350k_4E_xLAN - average correct plies,GPT2_V31_350k_4E_xLANplus - legal piece moves accuracy,GPT2_V31_350k_4E_xLANplus - hard position accuracy,GPT2_V31_350k_4E_xLANplus - average correct plies,GPT2_V30_71k_4E_xLANplus - legal piece moves accuracy,GPT2_V30_71k_4E_xLANplus - hard position accuracy,GPT2_V30_71k_4E_xLANplus - average correct plies,GPT2_V29_19k_4E_xLANplus - legal piece moves accuracy,GPT2_V29_19k_4E_xLANplus - hard position accuracy,GPT2_V29_19k_4E_xLANplus - average correct plies,GPT2_V28_71k_4E_xLAN - legal piece moves accuracy,GPT2_V28_71k_4E_xLAN - hard position accuracy,GPT2_V28_71k_4E_xLAN - average correct plies,GPT2_V27_19k_4E_xLAN - legal piece moves accuracy,GPT2_V27_19k_4E_xLAN - hard position accuracy,GPT2_V27_19k_4E_xLAN - average correct plies
1150,0.32860824742268,0.294776119402986,0.03,0.515463917525773,0.507462686567164,2.45,0.515463917525773,0.432835820895522,4.88,0.474226804123711,0.402985074626866,2.61,0.360824742268041,0.298507462686567,0.0,0.309278350515464,0.238805970149254,0.12
1200,0.345360824742268,0.313432835820896,0.04,0.536082474226804,0.537313432835821,2.43,0.520618556701031,0.492537313432836,3.54,0.505154639175258,0.447761194029851,2.47,0.412371134020619,0.298507462686567,0.01,0.335051546391753,0.283582089552239,0.15
1250,0.359536082474227,0.309701492537314,0.035,0.542525773195876,0.526119402985075,2.9575,0.582474226804124,0.567164179104478,4.09,0.5,0.417910447761194,2.65,0.412371134020619,0.313432835820896,0.03,0.376288659793814,0.313432835820896,0.03
1300,0.373711340206185,0.305970149253732,0.03,0.548969072164949,0.514925373134329,3.485,0.582474226804124,0.537313432835821,3.75,0.525773195876289,0.447761194029851,2.23,0.422680412371134,0.432835820895522,0.04,0.396907216494845,0.313432835820896,0.16
1350,0.387886597938144,0.302238805970149,0.025,0.555412371134021,0.503731343283582,4.0125,0.567010309278351,0.552238805970149,2.61,0.530927835051546,0.492537313432836,3.34,0.438144329896907,0.328358208955224,0.04,0.412371134020619,0.298507462686567,0.03
1400,0.402061855670103,0.298507462686567,0.02,0.561855670103093,0.492537313432836,4.54,0.587628865979382,0.507462686567164,4.05,0.525773195876289,0.567164179104478,4.06,0.438144329896907,0.343283582089552,0.02,0.427835051546392,0.358208955223881,0.09
1450,0.408505154639175,0.291044776119403,0.015,0.576030927835052,0.485074626865672,4.3625,0.54639175257732,0.507462686567164,5.87,0.510309278350515,0.537313432835821,5.06,0.443298969072165,0.447761194029851,0.33,0.463917525773196,0.313432835820896,0.09
1500,0.414948453608248,0.283582089552239,0.01,0.59020618556701,0.477611940298508,4.185,0.592783505154639,0.462686567164179,4.62,0.530927835051546,0.477611940298507,5.23,0.443298969072165,0.402985074626866,0.15,0.448453608247423,0.343283582089552,0.15
1550,0.42139175257732,0.276119402985074,0.005,0.604381443298969,0.470149253731343,4.0075,0.567010309278351,0.432835820895522,5.59,0.577319587628866,0.492537313432836,3.69,0.494845360824742,0.373134328358209,0.06,0.45360824742268,0.373134328358209,0.41
1600,0.427835051546392,0.26865671641791,0.0,0.618556701030928,0.462686567164179,3.83,0.61340206185567,0.432835820895522,5.71,0.556701030927835,0.492537313432836,3.62,0.45360824742268,0.417910447761194,0.31,0.5,0.373134328358209,0.49
1650,0.429123711340207,0.279850746268656,0.015,0.610824742268042,0.485074626865672,4.3625,0.618556701030928,0.462686567164179,5.61,0.577319587628866,0.537313432835821,5.46,0.474226804123711,0.462686567164179,0.49,0.520618556701031,0.402985074626866,0.25
1700,0.430412371134021,0.291044776119403,0.03,0.603092783505155,0.507462686567164,4.895,0.603092783505155,0.537313432835821,7.74,0.556701030927835,0.582089552238806,4.08,0.515463917525773,0.417910447761194,0.06,0.515463917525773,0.417910447761194,0.68
1750,0.431701030927836,0.30223880597015,0.045,0.595360824742269,0.529850746268657,5.4275,0.628865979381443,0.582089552238806,5.3,0.561855670103093,0.552238805970149,3.13,0.530927835051546,0.402985074626866,0.27,0.530927835051546,0.447761194029851,0.4
1800,0.43298969072165,0.313432835820896,0.06,0.587628865979382,0.552238805970149,5.96,0.61340206185567,0.567164179104478,7.29,0.603092783505155,0.567164179104478,4.33,0.494845360824742,0.358208955223881,0.34,0.5,0.432835820895522,0.52
1850,0.447164948453609,0.32089552238806,0.045,0.594072164948454,0.544776119402985,5.8675,0.639175257731959,0.582089552238806,7.68,0.603092783505155,0.567164179104478,4.9,0.494845360824742,0.477611940298507,0.66,0.5,0.447761194029851,0.38
1900,0.461340206185568,0.328358208955224,0.03,0.600515463917526,0.537313432835821,5.775,0.639175257731959,0.432835820895522,7.51,0.567010309278351,0.537313432835821,4.46,0.54639175257732,0.492537313432836,0.43,0.515463917525773,0.417910447761194,0.44
1950,0.475515463917526,0.335820895522388,0.015,0.606958762886598,0.529850746268657,5.6825,0.608247422680412,0.462686567164179,6.95,0.618556701030928,0.582089552238806,4.9,0.54639175257732,0.507462686567164,0.41,0.5,0.417910447761194,0.24
2000,0.489690721649485,0.343283582089552,0.0,0.61340206185567,0.522388059701493,5.59,0.644329896907217,0.552238805970149,7.87,0.587628865979382,0.582089552238806,5.95,0.520618556701031,0.462686567164179,0.54,0.510309278350515,0.477611940298507,0.59
2050,0.506443298969073,0.361940298507463,0.0025,0.617268041237113,0.533582089552239,5.815,0.618556701030928,0.507462686567164,6.86,0.623711340206186,0.597014925373134,5.96,0.541237113402062,0.492537313432836,0.5,0.520618556701031,0.388059701492537,0.67
2100,0.52319587628866,0.380597014925373,0.005,0.621134020618557,0.544776119402986,6.04,0.628865979381443,0.582089552238806,7.95,0.623711340206186,0.567164179104478,6.23,0.61340206185567,0.552238805970149,1.47,0.561855670103093,0.432835820895522,0.76
2150,0.539948453608248,0.399253731343284,0.0075,0.625,0.555970149253732,6.265,0.65979381443299,0.522388059701493,7.63,0.644329896907217,0.567164179104478,5.91,0.618556701030928,0.462686567164179,0.96,0.536082474226804,0.522388059701493,0.65
2200,0.556701030927835,0.417910447761194,0.01,0.628865979381443,0.567164179104478,6.49,0.675257731958763,0.611940298507463,7.09,0.623711340206186,0.552238805970149,6.67,0.577319587628866,0.492537313432836,0.62,0.525773195876289,0.447761194029851,0.85
2250,0.547680412371134,0.444029850746269,0.0175,0.623711340206185,0.585820895522388,6.605,0.664948453608247,0.552238805970149,4.66,0.618556701030928,0.462686567164179,4.8,0.561855670103093,0.552238805970149,0.57,0.54639175257732,0.402985074626866,0.93
2300,0.538659793814433,0.470149253731344,0.025,0.618556701030927,0.604477611940299,6.72,0.649484536082474,0.582089552238806,7.27,0.623711340206186,0.537313432835821,7.34,0.567010309278351,0.537313432835821,1.81,0.582474226804124,0.522388059701493,1.21
2350,0.529639175257732,0.496268656716418,0.0325,0.61340206185567,0.623134328358209,6.835,0.675257731958763,0.552238805970149,7.8,0.618556701030928,0.552238805970149,6.51,0.572164948453608,0.447761194029851,1.8,0.572164948453608,0.492537313432836,0.92
2400,0.520618556701031,0.522388059701493,0.04,0.608247422680412,0.641791044776119,6.95,0.685567010309278,0.477611940298507,7.45,0.628865979381443,0.611940298507463,5.87,0.561855670103093,0.537313432835821,0.81,0.556701030927835,0.507462686567164,0.7
2450,0.528350515463917,0.488805970149254,0.03,0.610824742268041,0.60820895522388,6.275,0.634020618556701,0.537313432835821,7.79,0.603092783505155,0.507462686567164,7.0,0.567010309278351,0.522388059701493,0.87,0.572164948453608,0.447761194029851,1.17
2500,0.536082474226804,0.455223880597015,0.02,0.61340206185567,0.574626865671642,5.6,0.701030927835052,0.567164179104478,7.1,0.644329896907217,0.552238805970149,6.11,0.561855670103093,0.626865671641791,1.49,0.577319587628866,0.492537313432836,1.45
2550,0.543814432989691,0.421641791044776,0.01,0.615979381443299,0.541044776119403,4.925,0.675257731958763,0.522388059701493,7.06,0.634020618556701,0.641791044776119,7.97,0.561855670103093,0.522388059701493,1.11,0.587628865979382,0.507462686567164,0.97
2600,0.551546391752577,0.388059701492537,0.0,0.618556701030928,0.507462686567164,4.25,0.670103092783505,0.507462686567164,10.52,0.654639175257732,0.567164179104478,8.02,0.582474226804124,0.492537313432836,1.35,0.608247422680412,0.492537313432836,0.9
2650,0.559278350515464,0.417910447761194,0.0,0.632731958762887,0.529850746268657,5.125,0.711340206185567,0.611940298507463,9.54,0.639175257731959,0.537313432835821,9.78,0.592783505154639,0.522388059701493,1.25,0.603092783505155,0.522388059701493,1.08
2700,0.567010309278351,0.447761194029851,0.0,0.646907216494846,0.552238805970149,6.0,0.680412371134021,0.507462686567164,8.55,0.644329896907217,0.597014925373134,8.24,0.603092783505155,0.582089552238806,1.54,0.597938144329897,0.432835820895522,1.64
2750,0.574742268041237,0.477611940298507,0.0,0.661082474226804,0.574626865671642,6.875,0.685567010309278,0.492537313432836,10.26,0.628865979381443,0.492537313432836,8.19,0.592783505154639,0.522388059701493,1.32,0.61340206185567,0.507462686567164,1.74
2800,0.582474226804124,0.507462686567164,0.0,0.675257731958763,0.597014925373134,7.75,0.639175257731959,0.552238805970149,9.76,0.644329896907217,0.582089552238806,9.13,0.582474226804124,0.373134328358209,1.57,0.587628865979382,0.522388059701493,1.8
2850,0.576030927835052,0.473880597014925,0.1375,0.680412371134021,0.585820895522388,7.7725,0.690721649484536,0.537313432835821,10.96,0.65979381443299,0.492537313432836,8.42,0.54639175257732,0.552238805970149,2.33,0.608247422680412,0.432835820895522,1.71
2900,0.56958762886598,0.440298507462687,0.275,0.685567010309279,0.574626865671642,7.795,0.711340206185567,0.626865671641791,9.22,0.65979381443299,0.552238805970149,9.93,0.572164948453608,0.507462686567164,1.0,0.623711340206186,0.417910447761194,0.79
2950,0.563144329896907,0.406716417910448,0.4125,0.690721649484536,0.563432835820895,7.8175,0.695876288659794,0.611940298507463,9.7,0.649484536082474,0.552238805970149,7.28,0.592783505154639,0.447761194029851,0.76,0.628865979381443,0.462686567164179,1.71
3000,0.556701030927835,0.373134328358209,0.55,0.695876288659794,0.552238805970149,7.84,0.680412371134021,0.611940298507463,10.36,0.675257731958763,0.597014925373134,9.07,0.592783505154639,0.507462686567164,0.84,0.61340206185567,0.417910447761194,1.87
3050,0.567010309278351,0.414179104477612,0.4675,0.698453608247423,0.559701492537313,8.1075,0.680412371134021,0.686567164179105,10.04,0.680412371134021,0.492537313432836,9.6,0.597938144329897,0.492537313432836,1.86,0.608247422680412,0.462686567164179,1.94
3100,0.577319587628866,0.455223880597015,0.385,0.701030927835052,0.567164179104478,8.375,0.680412371134021,0.582089552238806,11.89,0.654639175257732,0.537313432835821,8.31,0.623711340206186,0.537313432835821,0.49,0.592783505154639,0.462686567164179,1.8
3150,0.587628865979382,0.496268656716418,0.3025,0.70360824742268,0.574626865671642,8.6425,0.65979381443299,0.567164179104478,13.28,0.639175257731959,0.597014925373134,7.1,0.608247422680412,0.507462686567164,3.25,0.608247422680412,0.492537313432836,1.83
3200,0.597938144329897,0.537313432835821,0.22,0.706185567010309,0.582089552238806,8.91,0.695876288659794,0.641791044776119,12.76,0.649484536082474,0.522388059701493,9.07,0.618556701030928,0.552238805970149,4.13,0.582474226804124,0.432835820895522,1.82
3250,0.596649484536083,0.514925373134329,0.805,0.702319587628866,0.597014925373134,9.47,0.711340206185567,0.641791044776119,11.2,0.664948453608247,0.611940298507463,9.61,0.61340206185567,0.537313432835821,2.97,0.623711340206186,0.432835820895522,2.08
3300,0.595360824742268,0.492537313432836,1.39,0.698453608247422,0.611940298507463,10.03,0.675257731958763,0.626865671641791,10.02,0.675257731958763,0.522388059701493,8.89,0.61340206185567,0.567164179104478,3.63,0.618556701030928,0.477611940298507,2.68
3350,0.594072164948454,0.470149253731344,1.975,0.694587628865979,0.626865671641791,10.59,0.721649484536083,0.626865671641791,10.3,0.634020618556701,0.492537313432836,8.53,0.623711340206186,0.477611940298507,3.13,0.608247422680412,0.462686567164179,1.99
3400,0.592783505154639,0.447761194029851,2.56,0.690721649484536,0.641791044776119,11.15,0.685567010309278,0.582089552238806,9.89,0.670103092783505,0.537313432835821,9.15,0.587628865979382,0.537313432835821,2.43,0.603092783505155,0.462686567164179,2.25
3450,0.609536082474227,0.451492537313433,2.76,0.698453608247423,0.649253731343283,10.855,0.690721649484536,0.641791044776119,10.15,0.664948453608247,0.597014925373134,8.86,0.582474226804124,0.522388059701493,3.86,0.618556701030928,0.537313432835821,2.7
3500,0.626288659793814,0.455223880597015,2.96,0.706185567010309,0.656716417910447,10.56,0.706185567010309,0.611940298507463,10.83,0.680412371134021,0.641791044776119,8.15,0.654639175257732,0.537313432835821,3.08,0.61340206185567,0.492537313432836,2.12
3550,0.643041237113402,0.458955223880597,3.16,0.713917525773196,0.664179104477612,10.265,0.680412371134021,0.597014925373134,10.38,0.685567010309278,0.641791044776119,8.94,0.597938144329897,0.537313432835821,2.67,0.618556701030928,0.537313432835821,2.17
3600,0.65979381443299,0.462686567164179,3.36,0.721649484536083,0.671641791044776,9.97,0.695876288659794,0.567164179104478,12.72,0.649484536082474,0.626865671641791,8.77,0.670103092783505,0.582089552238806,4.19,0.608247422680412,0.477611940298507,2.46
3650,0.655927835051547,0.466417910447761,3.245,0.715206185567011,0.66044776119403,10.5675,0.685567010309278,0.671641791044776,12.37,0.675257731958763,0.567164179104478,9.01,0.628865979381443,0.522388059701493,3.88,0.618556701030928,0.492537313432836,2.45
3700,0.652061855670103,0.470149253731343,3.13,0.708762886597939,0.649253731343284,11.165,0.701030927835052,0.641791044776119,10.0,0.695876288659794,0.641791044776119,8.5,0.628865979381443,0.537313432835821,3.74,0.618556701030928,0.507462686567164,1.94
3750,0.64819587628866,0.473880597014925,3.015,0.702319587628866,0.638059701492537,11.7625,0.721649484536083,0.611940298507463,10.6,0.664948453608247,0.611940298507463,9.37,0.654639175257732,0.567164179104478,3.66,0.608247422680412,0.477611940298507,2.09
3800,0.644329896907217,0.477611940298507,2.9,0.695876288659794,0.626865671641791,12.36,0.690721649484536,0.656716417910448,11.75,0.685567010309278,0.597014925373134,9.82,0.670103092783505,0.507462686567164,5.41,0.61340206185567,0.492537313432836,2.13
3850,0.639175257731959,0.483582089552238,2.326,0.701030927835052,0.614925373134328,12.144,0.690721649484536,0.641791044776119,12.26,0.670103092783505,0.626865671641791,11.22,0.65979381443299,0.552238805970149,4.0,0.618556701030928,0.507462686567164,2.28
3880,0.634020618556701,0.48955223880597,1.752,0.70618556701031,0.602985074626866,11.928,0.695876288659794,0.641791044776119,11.78,0.667525773195876,0.611940298507463,10.425,0.649484536082475,0.574626865671642,4.39,0.634020618556701,0.477611940298507,2.31
3900,0.628865979381444,0.495522388059701,1.178,0.711340206185567,0.591044776119403,11.712,0.701030927835052,0.641791044776119,11.3,0.664948453608247,0.597014925373134,9.63,0.639175257731959,0.597014925373134,4.78,0.634020618556701,0.477611940298507,2.31
3950,0.623711340206186,0.5014925373134325,0.604,0.7164948453608251,0.5791044776119405,11.495999999999999,0.757731958762887,0.597014925373134,11.17,0.690721649484536,0.641791044776119,10.61,0.639175257731959,0.507462686567164,3.71,0.634020618556701,0.477611940298507,2.31
4000,0.618556701030928,0.507462686567164,0.03,0.721649484536083,0.567164179104478,11.28,0.711340206185567,0.626865671641791,10.34,0.670103092783505,0.597014925373134,10.56,0.65979381443299,0.597014925373134,4.51,0.634020618556701,0.477611940298507,2.31
4050,0.630154639175258,0.514925373134328,0.2975,0.711340206185568,0.589552238805971,10.9525,0.731958762886598,0.671641791044776,11.66,0.690721649484536,0.582089552238806,10.95,0.639175257731959,0.522388059701493,5.75,0.634020618556701,0.477611940298507,2.31
4100,0.641752577319588,0.522388059701493,0.565,0.701030927835052,0.611940298507463,10.625,0.716494845360825,0.537313432835821,12.06,0.695876288659794,0.597014925373134,9.99,0.644329896907217,0.537313432835821,4.62,0.634020618556701,0.477611940298507,2.31
4150,0.653350515463917,0.529850746268657,0.8325,0.690721649484537,0.634328358208956,10.2975,0.72680412371134,0.686567164179105,12.85,0.690721649484536,0.582089552238806,10.01,0.623711340206186,0.626865671641791,4.16,0.634020618556701,0.477611940298507,2.31
4200,0.664948453608247,0.537313432835821,1.1,0.680412371134021,0.656716417910448,9.97,0.721649484536083,0.626865671641791,12.12,0.695876288659794,0.611940298507463,9.77,0.670103092783505,0.522388059701493,5.35,,,
4250,0.668814432989691,0.522388059701493,0.8475,0.688144329896907,0.623134328358209,10.19,0.695876288659794,0.626865671641791,12.3,0.670103092783505,0.626865671641791,11.52,0.675257731958763,0.537313432835821,2.81,,,
4300,0.672680412371134,0.507462686567164,0.595,0.695876288659794,0.589552238805971,10.41,0.72680412371134,0.567164179104478,13.06,0.695876288659794,0.611940298507463,11.79,0.654639175257732,0.611940298507463,5.33,,,
4350,0.676546391752578,0.492537313432836,0.3425,0.703608247422681,0.555970149253732,10.63,0.731958762886598,0.641791044776119,12.54,0.680412371134021,0.597014925373134,11.08,0.649484536082474,0.597014925373134,6.04,,,
4400,0.680412371134021,0.477611940298507,0.09,0.711340206185567,0.522388059701493,10.85,0.721649484536083,0.626865671641791,11.81,0.690721649484536,0.641791044776119,10.42,0.664948453608247,0.537313432835821,6.68,,,
4450,0.676546391752578,0.477611940298507,0.7225,0.712628865979382,0.533582089552239,11.155,0.716494845360825,0.746268656716418,13.26,0.716494845360825,0.641791044776119,10.98,0.680412371134021,0.537313432835821,6.47,,,
4500,0.672680412371134,0.477611940298507,1.355,0.713917525773196,0.544776119402986,11.46,0.716494845360825,0.641791044776119,12.94,0.721649484536083,0.522388059701493,10.31,0.675257731958763,0.582089552238806,5.96,,,
4550,0.668814432989691,0.477611940298507,1.9875,0.71520618556701,0.555970149253732,11.765,0.721649484536083,0.597014925373134,13.64,0.706185567010309,0.582089552238806,10.25,0.680412371134021,0.552238805970149,5.19,,,
4600,0.664948453608247,0.477611940298507,2.62,0.716494845360825,0.567164179104478,12.07,0.731958762886598,0.597014925373134,15.53,0.701030927835052,0.626865671641791,10.56,0.670103092783505,0.477611940298507,5.48,,,
4650,0.666237113402062,0.492537313432836,3.0525,0.726804123711341,0.574626865671642,12.59,0.72680412371134,0.611940298507463,13.15,0.695876288659794,0.626865671641791,11.13,0.690721649484536,0.582089552238806,5.64,,,
4700,0.667525773195876,0.507462686567164,3.485,0.737113402061856,0.582089552238806,13.11,0.706185567010309,0.686567164179105,12.34,0.695876288659794,0.611940298507463,10.38,0.654639175257732,0.582089552238806,5.5,,,
4750,0.668814432989691,0.522388059701493,3.9175,0.747422680412372,0.58955223880597,13.63,0.72680412371134,0.656716417910448,10.29,0.711340206185567,0.611940298507463,9.99,0.711340206185567,0.537313432835821,5.4,,,
4800,0.670103092783505,0.537313432835821,4.35,0.757731958762887,0.597014925373134,14.15,0.72680412371134,0.582089552238806,13.48,0.706185567010309,0.611940298507463,10.34,0.690721649484536,0.611940298507463,5.58,,,
4824,0.662886597938144,0.528358208955224,4.326,0.755670103092784,0.591044776119403,14.136,0.72680412371134,0.604477611940299,12.41,0.706185567010309,0.641791044776119,10.25,0.670103092783505,0.567164179104478,5.565,,,
4850,0.655670103092783,0.519402985074627,4.302,0.753608247422681,0.585074626865672,14.122,0.72680412371134,0.626865671641791,11.34,0.706185567010309,0.641791044776119,10.25,0.649484536082474,0.522388059701493,5.55,,,
4900,0.648453608247423,0.51044776119403,4.278,0.751546391752577,0.57910447761194,14.108,0.731958762886598,0.626865671641791,13.24,0.706185567010309,0.641791044776119,10.25,0.680412371134021,0.582089552238806,4.02,,,
4950,0.641237113402062,0.501492537313433,4.254,0.749484536082474,0.573134328358209,14.094000000000001,0.706185567010309,0.552238805970149,15.02,0.706185567010309,0.641791044776119,10.25,0.680412371134021,0.552238805970149,5.58,,,
5000,0.634020618556701,0.492537313432836,4.23,0.747422680412371,0.567164179104478,14.08,0.72680412371134,0.552238805970149,14.48,0.706185567010309,0.641791044776119,10.25,0.649484536082474,0.537313432835821,4.74,,,
5050,0.64819587628866,0.507462686567164,4.335,0.743556701030928,0.567164179104478,13.71,0.737113402061856,0.611940298507463,10.64,0.706185567010309,0.641791044776119,10.25,0.680412371134021,0.522388059701493,6.12,,,
5100,0.662371134020618,0.522388059701493,4.44,0.739690721649485,0.567164179104478,13.34,0.721649484536083,0.626865671641791,12.45,0.706185567010309,0.641791044776119,10.25,0.701030927835052,0.537313432835821,4.75,,,
5150,0.676546391752577,0.537313432835821,4.545,0.735824742268041,0.567164179104478,12.97,0.721649484536083,0.641791044776119,13.51,,,,0.685567010309278,0.477611940298507,6.31,,,
5200,0.690721649484536,0.552238805970149,4.65,0.731958762886598,0.567164179104478,12.6,0.701030927835052,0.611940298507463,13.85,,,,0.701030927835052,0.507462686567164,4.67,,,
5250,0.701030927835052,0.537313432835821,4.23,0.740979381443299,0.585820895522388,12.74,0.716494845360825,0.641791044776119,14.44,,,,0.701030927835052,0.552238805970149,5.09,,,
5300,0.711340206185567,0.522388059701493,3.81,0.75,0.604477611940299,12.88,0.701030927835052,0.686567164179105,14.58,,,,0.690721649484536,0.567164179104478,5.61,,,
5350,0.721649484536083,0.507462686567164,3.39,0.759020618556701,0.623134328358209,13.02,0.716494845360825,0.656716417910448,14.29,,,,0.670103092783505,0.582089552238806,6.47,,,
5400,0.731958762886598,0.492537313432836,2.97,0.768041237113402,0.641791044776119,13.16,0.737113402061856,0.701492537313433,15.28,,,,0.680412371134021,0.567164179104478,5.47,,,
